symbol,name,market,securityType,isCommonShare
047310,047310,,STOCK,1
047400,047400,,STOCK,1
047560,047560,,STOCK,1
047770,047770,,STOCK,1
047810,047810,,STOCK,1
047820,047820,,STOCK,1
047920,047920,,STOCK,1
048410,048410,,STOCK,1
048430,048430,,STOCK,1
048470,048470,,STOCK,1
048530,048530,,STOCK,1
048550,048550,,STOCK,1
048770,048770,,STOCK,1
048830,048830,,STOCK,1
048870,048870,,STOCK,1
048910,048910,,STOCK,1
049070,049070,,STOCK,1
049080,049080,,STOCK,1
049120,049120,,STOCK,1
049180,049180,,STOCK,1
049430,049430,,STOCK,1
049470,049470,,STOCK,1
049480,049480,,STOCK,1
049520,049520,,STOCK,1
049550,049550,,STOCK,1
049630,049630,,STOCK,1
049720,049720,,STOCK,1
049800,049800,,STOCK,1
049830,049830,,STOCK,1
049950,049950,,STOCK,1
049960,049960,,STOCK,1
050090,050090,,STOCK,1
050110,050110,,STOCK,1
050120,050120,,STOCK,1
050760,050760,,STOCK,1
050860,050860,,STOCK,1
050890,050890,,STOCK,1
050960,050960,,STOCK,1
051160,051160,,STOCK,1
051360,051360,,STOCK,1
051370,051370,,STOCK,1
051380,051380,,STOCK,1
051390,051390,,STOCK,1
051490,051490,,STOCK,1
051500,051500,,STOCK,1
