신호ID,종목코드,종목명,전략,운용,시각,가격,결과,상세,후속결정,신호근거,등락률%,VWAP이격%,범위위치,체결강도,거래량배수,스프레드틱,5분후,15분후,30분후,60분후,60분최고,60분최저
036930#1337-S20260810090625,036930,주성엔지니어링,ORB,FullAuto,2026-08-10 09:06:25,136200,진입,,,"ORB5 고가 136,000 돌파 (범위 6.4%)",6.57,2.26,1,206.4,1.88,1,,,,,,
017900#1336-S20260810090922,017900,광전자,ORB,FullAuto,2026-08-10 09:09:22,8960,진입,,,"ORB5 고가 8,900 돌파 (범위 9.9%)",14.72,3.71,1,229.6,2.72,1,,,,,,
062040#1339-S20260810094620,062040,산일전기,ORB,FullAuto,2026-08-10 09:46:20,180400,진입,,,"ORB5 고가 180,000 돌파 (범위 6.4%)",13.03,0.06,0.673,159.1,2.80,1,,,,,,
036930#1341-S20260810150000,036930,주성엔지니어링,종가베팅,FullAuto,2026-08-10 15:00:00,144600,진입,,,"종가베팅: 등락 +13.1%, 고저범위 95% 위치, VWAP 141,013 위",13.15,2.54,0.949,261.7,0.97,1,,,,,,
042660#1340-S20260810150000,042660,한화오션,종가베팅,FullAuto,2026-08-10 15:00:00,93900,진입,,,"종가베팅: 등락 +4.4%, 고저범위 95% 위치, VWAP 92,369 위",4.45,1.66,0.949,510.3,1.15,1,,,,,,
241710#1342-S20260811091415,241710,코스메카코리아,ORB,FullAuto,2026-08-11 09:14:15,109500,진입,,,"ORB5 고가 109,400 돌파 (범위 6.8%)",9.61,2.85,1,124.6,2.64,1,,,,,,
241710#1342-S20260811092315,241710,코스메카코리아,ORB,FullAuto,2026-08-11 09:23:15,109500,진입,,,"ORB5 고가 109,400 돌파 (범위 6.8%)",9.61,2.59,0.986,128.0,1.77,1,,,,,,
241710#1342-S20260811093722,241710,코스메카코리아,ORB,FullAuto,2026-08-11 09:37:22,109700,진입,,,"ORB5 고가 109,400 돌파 (범위 6.8%)",9.81,2.18,0.793,140.1,3.51,1,,,,,,
336260#1349-S20260811110400,336260,두산퓨얼셀,VWAP눌림,FullAuto,2026-08-11 11:04:00,36250,진입,,,"VWAP 35,961 재돌파, 직전봉 고가 36,100 돌파",10.35,0.80,0.679,246.8,1.42,1,,,,,,
090460#1348-S20260811111300,090460,비에이치,VWAP눌림,FullAuto,2026-08-11 11:13:00,17630,진입,,,"VWAP 17,421 재돌파, 직전봉 고가 17,560 돌파",13.23,1.20,0.592,146.8,0.96,1,,,,,,
336260#1349-S20260811112600,336260,두산퓨얼셀,VWAP눌림,FullAuto,2026-08-11 11:26:00,36000,진입,,,"VWAP 35,955 재돌파, 직전봉 고가 35,950 돌파",9.59,0.13,0.633,246.6,0.40,1,,,,,,
